Data generated for Whang 2021
Biphone O/E ratios and phonotactic constraints induced based on StaGe (Adriaans and Kager 2010)

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	S1	S2	O-VALUE	E-VALUE	OE-RATIO	CONSTRAINT
aa	a	a	0.0019933790	0.0160398920	0.1242763290	*aa
ao	a	o	0.0015432840	0.0128245080	0.1203386790	*ao
oa	o	a	0.0012955520	0.0128245080	0.1010215970	*oa
oo	o	o	0.0037303840	0.0102536850	0.3638091070	*oo
ai	a	i	0.0140350300	0.0093555700	1.5001789660	Contig-ai
ia	i	a	0.0010420590	0.0093555700	0.1113838040	*ia
ae	a	e	0.0017434860	0.0083420870	0.2089988400	*ae
ea	e	a	0.0010132530	0.0083420870	0.1214627700	*ea
ta	t	a	0.0168378590	0.0076065080	2.2136120710	Contig-ta
at	a	t	0.0073008940	0.0076065080	0.9598220430	--
oi	o	i	0.0030764870	0.0074801370	0.4112874890	*oi
io	i	o	0.0019602520	0.0074801370	0.2620609890	*io
ka	k	a	0.0197400690	0.0067789030	2.9119856970	Contig-ka
ak	a	k	0.0116513290	0.0067789030	1.7187631460	Contig-ak
eo	e	o	0.0014820720	0.0066698180	0.2222057000	*eo
oe	o	e	0.0008288940	0.0066698180	0.1242753940	*oe
to	t	o	0.0215930180	0.0060816950	3.5504936510	Contig-to
ot	o	t	0.0071410210	0.0060816950	1.1741827320	--
ii	i	i	0.0011277570	0.0054568130	0.2066695350	*ii
ok	o	k	0.0117874370	0.0054199920	2.1748069540	Contig-ok
ko	k	o	0.0108591620	0.0054199920	2.0035382490	Contig-ko
au	a	u	0.0007287930	0.0051957450	0.1402673010	*au
ua	u	a	0.0002779780	0.0051957450	0.0535011640	*ua
na	n	a	0.0149186550	0.0049637170	3.0055413000	Contig-na
an	a	n	0.0068378370	0.0049637170	1.3775639430	Contig-an
ei	e	i	0.0032147560	0.0048656800	0.6607002310	*ei
ie	i	e	0.0005681990	0.0048656800	0.1167769900	*ie
ar	a	r	0.0133847330	0.0046600000	2.8722603620	Contig-ar
ra	r	a	0.0076156010	0.0046600000	1.6342490760	Contig-ra
a#	a	#	0.0093281200	0.0045555690	2.0476302570	Contig-a#
#a	#	a	0.0012660260	0.0045555690	0.2779073570	*#a
it	i	t	0.0062537940	0.0044366400	1.4095790440	Contig-it
ti	t	i	0.0001706760	0.0044366400	0.0384696260	*ti
ee	e	e	0.0000965003	0.0043385830	0.0222423480	*ee
as	a	s	0.0081557140	0.0042770250	1.9068661410	Contig-as
sa	s	a	0.0055718110	0.0042770250	1.3027305370	Contig-sa
uo	u	o	0.0012674660	0.0041541970	0.3051050060	*uo
ou	o	u	0.0006654200	0.0041541970	0.1601801280	*ou
ma	m	a	0.0123570770	0.0039888130	3.0979332030	Contig-ma
am	a	m	0.0041732770	0.0039888130	1.0462452890	--
no	n	o	0.0201059060	0.0039686810	5.0661424260	Contig-no
on	o	n	0.0087426370	0.0039686810	2.2029073050	Contig-on
