Data generated for Whang 2021
Phrase-level contextual surprisal of "S2" after "S1" (Whang 2019, Shannon 1948)

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	S1_	S2	BIPHONE-COUNT	CONTEXT-COUNT	Surprisal(S2)
bu	b	u	4062	11508	1.502374981
ba	b	a	3305	11508	1.799914949
be	b	e	1317	11508	3.127309876
bo	b	o	1086	11508	3.405541118
bi	b	i	1064	11508	3.43506707
bö	b	ö	185	11508	5.958968045
bï	b	ï	169	11508	6.08947007
bä	b	ä	149	11508	6.271180985
bë	b	ë	134	11508	6.424260315
bü	b	ü	13	11508	9.789909788
bU	b	U	8	11508	10.49034951
bI	b	I	4	11508	11.49034951
bA	b	A	2	11508	12.49034951
bd	b	d	2	11508	12.49034951
bE	b	E	2	11508	12.49034951
bÄ	b	Ä	1	11508	13.49034951
bk	b	k	1	11508	13.49034951
bN	b	N	1	11508	13.49034951
bÖ	b	Ö	1	11508	13.49034951
bt	b	t	1	11508	13.49034951
bʃ	b	ʃ	1	11508	13.49034951
bʲö	bʲ	ö	153	219	0.517399217
bʲü	bʲ	ü	34	219	2.687324218
bʲa	bʲ	a	31	219	2.820590749
bʲu	bʲ	u	1	219	7.77478706
çI	ç	I	2113	4901	1.21378338
çi	ç	i	1365	4901	1.844175196
çö	ç	ö	747	4901	2.713895999
ça	ç	a	366	4901	3.743160593
çt	ç	t	151	4901	5.020455692
çk	ç	k	50	4901	6.615004242
çï	ç	ï	39	4901	6.973458213
çü	ç	ü	18	4901	8.08893543
çʦ	ç	ʦ	13	4901	8.558420713
çʤ	ç	ʤ	9	4901	9.08893543
çQ	ç	Q	8	4901	9.258860431
ço	ç	o	7	4901	9.451505509
çkʲ	ç	kʲ	4	4901	10.25886043
çA	ç	A	2	4901	11.25886043
çd	ç	d	2	4901	11.25886043
çm	ç	m	2	4901	11.25886043
çs	ç	s	2	4901	11.25886043
çg	ç	g	1	4901	12.25886043
çu	ç	u	1	4901	12.25886043
çʧ	ç	ʧ	1	4901	12.25886043
de	d	e	25129	41296	0.716648786
da	d	a	6910	41296	2.579244431
do	d	o	6312	41296	2.709832936
dö	d	ö	1758	41296	4.553995071
dE	d	E	499	41296	6.370818421
dë	d	ë	264	41296	7.289320307
dï	d	ï	116	41296	8.475733431
di	d	i	106	41296	8.605793972
dä	d	ä	67	41296	9.267625236
ds	d	s	53	41296	9.605793972
dA	d	A	41	41296	9.976162422
du	d	u	17	41296	11.24625158
dO	d	O	7	41296	12.5263595
dü	d	ü	5	41296	13.01178633
d#	d	#	3	41296	13.74875193
dQ	d	Q	2	41296	14.33371443
dʃ	d	ʃ	2	41296	14.33371443
dg	d	g	1	41296	15.33371443
dk	d	k	1	41296	15.33371443
dr	d	r	1	41296	15.33371443
dU	d	U	1	41296	15.33371443
dkʲ	d	kʲ	1	41296	15.33371443
dʲu	dʲ	u	5	7	0.485426827
dʲü	dʲ	ü	2	7	1.807354922
ʣu	ʣ	u	2186	5937	1.441440712
ʣe	ʣ	e	1323	5937	2.165921052
ʣa	ʣ	a	987	5937	2.588612123
ʣo	ʣ	o	791	5937	2.907984513
ʣö	ʣ	ö	327	5937	4.182371572
ʣU	ʣ	U	102	5937	5.863093056
ʣä	ʣ	ä	90	5937	6.043665301
ʣë	ʣ	ë	48	5937	6.950555897
ʣü	ʣ	ü	34	5937	7.448055557
ʣA	ʣ	A	12	5937	8.950555897
ʣi	ʣ	i	9	5937	9.365593396
ʣk	ʣ	k	9	5937	9.365593396
ʣï	ʣ	ï	6	5937	9.950555897
ʣn	ʣ	n	2	5937	11.5355184
ʣO	ʣ	O	2	5937	11.5355184
ʣs	ʣ	s	2	5937	11.5355184
ʣʃ	ʣ	ʃ	2	5937	11.5355184
ʣ#	ʣ	#	1	5937	12.5355184
ʣE	ʣ	E	1	5937	12.5355184
ʣt	ʣ	t	1	5937	12.5355184
ʣw	ʣ	w	1	5937	12.5355184
ʣj	ʣ	j	1	5937	12.5355184
ʤi	ʤ	i	6002	12193	1.02253791
ʤö	ʤ	ö	2113	12193	2.528688462
ʤü	ʤ	ü	1543	12193	2.982243167
ʤu	ʤ	u	857	12193	3.83061412
ʤa	ʤ	a	673	12193	4.179302819
ʤo	ʤ	o	519	12193	4.554174786
ʤI	ʤ	I	227	12193	5.747217027
ʤe	ʤ	e	101	12193	6.915554031
ʤï	ʤ	ï	76	12193	7.325838001
ʤë	ʤ	ë	42	12193	8.181448091
ʤä	ʤ	ä	10	12193	10.25183742
ʤd	ʤ	d	5	12193	11.25183742
ʤt	ʤ	t	5	12193	11.25183742
ʤU	ʤ	U	4	12193	11.57376551
ʤn	ʤ	n	3	12193	11.98880301
ʤʃ	ʤ	ʃ	3	12193	11.98880301
ʤÖ	ʤ	Ö	2	12193	12.57376551
ʤA	ʤ	A	1	12193	13.57376551
ʤʦ	ʤ	ʦ	1	12193	13.57376551
ʤE	ʤ	E	1	12193	13.57376551
ʤg	ʤ	g	1	12193	13.57376551
ʤk	ʤ	k	1	12193	13.57376551
ʤQ	ʤ	Q	1	12193	13.57376551
ʤʤ	ʤ	ʤ	1	12193	13.57376551
ʤʧ	ʤ	ʧ	1	12193	13.57376551
fu	f	u	1271	3125	1.297892159
fU	f	U	993	3125	1.653990567
fü	f	ü	537	3125	2.540862197
fa	f	a	61	3125	5.678903137
fk	f	k	44	3125	6.150208856
ft	f	t	42	3125	6.217323052
fe	f	e	38	3125	6.361712961
fo	f	o	31	3125	6.655444164
fi	f	i	28	3125	6.802285552
fö	f	ö	25	3125	6.965784285
fï	f	ï	21	3125	7.217323052
fʦ	f	ʦ	9	3125	8.439715473
fä	f	ä	6	3125	9.024677974
fë	f	ë	4	3125	9.609640474
fʧ	f	ʧ	4	3125	9.609640474
fQ	f	Q	3	3125	10.02467797
fʃ	f	ʃ	2	3125	10.60964047
fI	f	I	1	3125	11.60964047
fn	f	n	1	3125	11.60964047
fr	f	r	1	3125	11.60964047
fj	f	j	1	3125	11.60964047
fʣ	f	ʣ	1	3125	11.60964047
fkʲ	f	kʲ	1	3125	11.60964047
fʲü	fʲ	ü	1	1	0
ga	g	a	17212	26508	0.623013079
go	g	o	4707	26508	2.493548066
ge	g	e	1969	26508	3.750892808
gu	g	u	1802	26508	3.878756908
gö	g	ö	577	26508	5.521712695
gë	g	ë	95	26508	8.124284596
gä	g	ä	67	26508	8.628051014
gü	g	ü	37	26508	9.484686838
gA	g	A	26	26508	9.993700486
gO	g	O	7	26508	11.88678528
gU	g	U	5	26508	12.37221211
gE	g	E	2	26508	13.6941402
gr	g	r	1	26508	14.6941402
gʃ	g	ʃ	1	26508	14.6941402
gʲi	gʲ	i	986	1562	0.663734902
gʲö	gʲ	ö	389	1562	2.005552393
gʲa	gʲ	a	114	1562	3.776288724
gʲo	gʲ	o	31	1562	5.654982428
gʲï	gʲ	ï	28	1562	5.801823816
gʲI	gʲ	I	5	1562	8.287250643
gʲü	gʲ	ü	5	1562	8.287250643
gʲu	gʲ	u	4	1562	8.609178738
ha	h	a	4780	10696	1.161988847
ho	h	o	2795	10696	1.936151182
hö	h	ö	2034	10696	2.394679786
he	h	e	740	10696	3.85340229
