Data generated for Whang 2021

Surprisal of phonological alternations observed in lexicon (transform "Target" to "Change") after "Context" (Shannon 1948; Durvasula & Kahng 2015).

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

Context	Target	SequenceCount	Change	ChangeCount	ChangeSurprisal
b_	-	7	u	4	0.80735
b_	-	7	a	2	1.80735
b_	-	7	i	1	2.80735
b_	A	1	a	1	0
b_	a	3267	a	3266	0.00044
b_	a	3267	ä	1	11.67375
b_	Ä	1	ä	1	0
b_	ä	148	ä	147	0.00978
b_	E	2	e	2	0
b_	e	1312	e	1299	0.01437
b_	e	1312	i	9	7.18763
b_	e	1312	u	2	9.35755
b_	e	1312	ë	1	10.35755
b_	ë	138	ë	137	0.01049
b_	i	1020	i	1009	0.01564
b_	I	4	i	2	1
b_	I	4	I	2	1
b_	i	1020	e	10	6.67243
b_	i	1020	I	1	9.99435
b_	ï	171	ï	171	0
b_	o	1063	o	1060	0.00408
b_	o	1063	ö	2	9.05393
b_	o	1063	e	1	10.05393
b_	Ö	1	Ö	1	0
b_	ö	183	ö	182	0.00791
b_	ö	183	o	1	7.5157
b_	u	4041	u	4037	0.00143
b_	U	8	u	6	0.41504
b_	U	8	U	2	2
b_	u	4041	-	2	10.9805
b_	u	4041	e	2	10.9805
b_	ü	13	ü	12	0.11548
ç_	-	184	I	168	0.13124
ç_	-	184	i	15	3.61667
ç_	-	184	a	1	7.52356
ç_	a	365	a	365	0
ç_	A	2	a	2	0
ç_	i	1354	i	1322	0.03451
ç_	I	1682	I	1597	0.07481
ç_	I	1682	i	79	4.41218
ç_	i	1354	I	31	5.44882
ç_	I	1682	-	6	8.131
ç_	i	1354	-	1	10.40301
ç_	ï	39	ï	39	0
ç_	o	7	o	7	0
ç_	ö	744	ö	744	0
ç_	ü	17	ü	17	0
d_	-	64	e	58	0.14202
d_	-	64	a	4	4
d_	-	64	o	1	6
d_	-	64	u	1	6
d_	A	38	a	38	0
d_	a	6899	a	6886	0.00272
d_	a	6899	e	5	10.43024
d_	a	6899	o	4	10.75217
d_	a	6899	ä	3	11.16721
d_	a	6899	-	1	12.75217
d_	ä	62	ä	52	0.25376
d_	ä	62	a	9	2.78427
d_	ä	62	o	1	5.9542
d_	e	25126	e	25123	0.00017
d_	E	498	e	496	0.00581
d_	E	498	o	1	8.96
d_	e	25126	-	1	14.61689
d_	e	25126	a	1	14.61689
d_	e	25126	ë	1	14.61689
d_	ë	262	ë	258	0.0222
d_	ë	262	ï	1	8.03342
d_	i	105	i	100	0.07039
d_	i	105	ï	3	5.12928
d_	i	105	e	2	5.71425
d_	ï	115	ï	115	0
d_	O	7	o	7	0
d_	o	6260	o	6252	0.00184
d_	o	6260	ö	7	9.80459
d_	o	6260	-	1	12.61195
d_	ö	1727	ö	1727	0
d_	u	14	u	11	0.34792
d_	U	2	U	1	1
d_	U	2	u	1	1
d_	u	14	e	1	3.80735
d_	u	14	-	1	3.80735
d_	u	14	U	1	3.80735
d_	ü	4	ü	4	0
ʣ_	-	16	u	16	0
ʣ_	a	975	a	964	0.01637
ʣ_	A	4	a	3	0.41504
ʣ_	a	975	ä	10	6.60733
ʣ_	a	975	A	1	9.92926
ʣ_	ä	90	ä	88	0.03242
ʣ_	E	1	e	1	0
ʣ_	e	1321	e	1320	0.00109
ʣ_	e	1321	ë	1	10.36741
ʣ_	ë	47	ë	47	0
ʣ_	i	8	i	7	0.19265
ʣ_	i	8	u	1	3
ʣ_	ï	6	ï	6	0
ʣ_	O	2	o	2	0
ʣ_	o	792	o	788	0.0073
ʣ_	o	792	ö	3	8.04439
ʣ_	o	792	e	1	9.62936
ʣ_	ö	328	ö	328	0
ʣ_	u	2085	u	2074	0.00763
ʣ_	U	95	u	78	0.28445
ʣ_	U	95	U	17	2.48239
ʣ_	u	2085	U	8	8.02583
ʣ_	u	2085	ö	2	10.02583
ʣ_	u	2085	-	1	11.02583
ʣ_	ü	33	ü	31	0.0902
ʣ_	ü	33	u	1	5.04439
ʤ_	-	26	i	19	0.45251
ʤ_	-	26	I	2	3.70044
ʤ_	-	26	u	1	4.70044
ʤ_	a	647	a	647	0
ʤ_	A	1	a	1	0
ʤ_	ä	10	ä	10	0
ʤ_	E	1	e	1	0
ʤ_	e	101	e	100	0.01436
ʤ_	e	101	ë	1	6.65821
ʤ_	ë	43	ë	43	0
ʤ_	i	5984	i	5918	0.016
ʤ_	I	230	i	209	0.13813
ʤ_	I	230	I	18	3.67557
ʤ_	i	5984	u	54	6.79201
ʤ_	I	230	-	2	6.84549
ʤ_	I	230	u	1	7.84549
ʤ_	i	5984	I	11	9.08746
ʤ_	i	5984	-	1	12.54689
ʤ_	ï	78	ï	76	0.03747
ʤ_	o	513	o	496	0.04862
ʤ_	o	513	ö	14	5.19546
ʤ_	o	513	u	1	9.00282
ʤ_	o	513	i	1	9.00282
ʤ_	ö	2111	ö	2111	0
ʤ_	Ö	2	ö	2	0
ʤ_	U	2	u	2	0
ʤ_	u	675	u	663	0.02588
ʤ_	u	675	i	9	6.22882
ʤ_	u	675	ü	3	7.81378
ʤ_	ü	1514	ü	1510	0.00382
ʤ_	ü	1514	ö	1	10.56415
f_	-	73	U	60	0.28293
f_	-	73	u	12	2.60486
f_	a	63	a	63	0
f_	ä	6	ä	6	0
f_	e	37	e	37	0
f_	ë	5	ë	5	0
f_	i	26	i	26	0
f_	I	1	I	1	0
f_	ï	20	ï	20	0
f_	o	30	o	30	0
f_	ö	23	ö	23	0
f_	u	1206	u	1102	0.13011
f_	U	810	U	704	0.20235
f_	U	810	u	102	2.98935
f_	u	1206	U	77	3.96923
f_	u	1206	ü	27	5.48113
f_	U	810	ü	2	8.66178
f_	U	810	-	2	8.66178
