Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	O-VALUE	E-VALUE	OE-RATIO	CONSTRAINT
ta	0.016837859	0.007606508	2.213612071	Contig-ta
ka	0.019740069	0.006778903	2.911985697	Contig-ka
to	0.021593018	0.006081695	3.550493651	Contig-to
ko	0.010859162	0.005419992	2.003538249	Contig-ko
na	0.014918655	0.004963717	3.0055413	Contig-na
ra	0.007615601	0.00466	1.634249076	Contig-ra
ti	0.000170676	0.00443664	0.038469626	*ti
sa	0.005571811	0.004277025	1.302730537	Contig-sa
ma	0.012357077	0.003988813	3.097933203	Contig-ma
no	0.020105906	0.003968681	5.066142426	Contig-no
te	0.017245464	0.003956021	4.359295439	Contig-te
Na	0.000102982	0.003943575	0.026113779	*Na
da	0.004976246	0.003766452	1.321202345	Contig-da
ro	0.002946139	0.003725848	0.790729771	--
tt	7.9217E-06	0.003607192	0.002196075	*tt
ke	0.005742487	0.003525597	1.628798443	Contig-ke
so	0.005120996	0.003419645	1.497522699	Contig-so
kt	0.000134668	0.003214721	0.041891129	*kt
tk	0.000009362	0.003214721	0.002912218	*tk
mo	0.010226869	0.003189209	3.206710407	Contig-mo
No	0.000769122	0.003153039	0.243930255	*No
do	0.004545595	0.003011423	1.509450993	Contig-do
kk	0.000033127	0.002864952	0.011562832	*kk
ʃa	0.001063664	0.002840892	0.374411867	*ʃa
ri	0.007338342	0.002718033	2.699872426	Contig-ri
ne	0.003208994	0.002581548	1.243050396	--
si	3.38471E-05	0.002494656	0.01356785	*si
tu	4.39292E-05	0.002463949	0.01782879	*tu
re	0.008061374	0.00242359	3.326212039	Contig-re
ga	0.012395245	0.002417695	5.126885888	Contig-ga
nt	1.4403E-06	0.002353916	0.000611875	*nt
tn	2.1605E-06	0.002353916	0.000917813	*tn
mi	0.003447365	0.002326551	1.481749161	Contig-mi
Ni	0.000368718	0.002300165	0.160300482	*Ni
ʃo	0.001242261	0.002271402	0.546913883	*ʃo
se	0.002912292	0.002224411	1.309241913	Contig-se
rt	6.4814E-06	0.002209886	0.002932895	*rt
tr	2.8806E-06	0.002209886	0.001303509	*tr
di	0.000076336	0.002196855	0.034747882	*di
ku	0.008174438	0.002195866	3.722648912	Contig-ku
t#	6.69741E-05	0.002160362	0.031001323	*t#
kn	3.6008E-06	0.002097804	0.001716441	*kn
me	0.001974655	0.002074517	0.951862641	--
Ne	5.11307E-05	0.002050989	0.024929799	*Ne
st	0.00014115	0.00202827	0.069591175	*st
ts	5.7612E-06	0.00202827	0.002840456	*ts
kr	5.7612E-06	0.001969445	0.002925297	*kr
de	0.018096683	0.001958871	9.238325316	Contig-de
go	0.003389752	0.00193304	1.753586732	Contig-go
k#	1.00821E-05	0.00192531	0.005236622	*k#
mt	1.4403E-06	0.001891593	0.000761423	*mt
tm	1.4403E-06	0.001891593	0.000761423	*tm
Nt	0.003071446	0.00187014	1.642361734	Contig-Nt
tN	7.202E-07	0.00187014	0.000385079	*tN
ya	0.002540694	0.001826314	1.391159788	Contig-ya
ks	0.000100101	0.001807589	0.055378199	*ks
sk	0.000253493	0.001807589	0.140238316	*sk
nʲa	0.000009362	0.001806339	0.00518284	*nʲa
td	2.8806E-06	0.001786144	0.001612751	*td
km	4.3209E-06	0.001685783	0.002563146	*km
kN	1.4403E-06	0.001666664	0.000864183	*kN
Nk	0.002671762	0.001666664	1.603059408	Contig-Nk
ʃi	0.005595576	0.001657004	3.376924227	Contig-ʃi
nu	0.000411927	0.001607879	0.256192507	*nu
wa	0.012473021	0.001605047	7.771124201	Contig-wa
dk	7.202E-07	0.001591807	0.000452411	*dk
kd	4.3209E-06	0.001591807	0.002714467	*kd
ru	0.009603218	0.001509497	6.361865597	Contig-ru
ʃe	7.9217E-06	0.001477501	0.005361528	*ʃe
yo	0.002629273	0.001460208	1.80061561	Contig-yo
nʲo	4.3209E-06	0.001444238	0.002991827	*nʲo
nr	1.4403E-06	0.001442087	0.000998763	*nr
n#	2.1605E-06	0.00140977	0.001532487	*n#
su	0.005464508	0.001385442	3.944236217	Contig-su
kʲa	0.000119545	0.001360706	0.087855236	*kʲa
rr	7.202E-07	0.001353849	0.000531929	*rr
ʃt	0.000801528	0.00134722	0.594949875	*ʃt
tʃ	4.3209E-06	0.00134722	0.003207277	*tʃ
sn	0.000180038	0.001323571	0.136024292	*sn
r#	5.0411E-06	0.00132351	0.003808858	*r#
mu	0.001446784	0.001292082	1.119730762	--
wo	3.52874E-05	0.001283297	0.027497473	*wo
Nu	4.24889E-05	0.001277428	0.033261305	*Nu
ge	0.001417978	0.001257404	1.127703131	--
sr	1.08023E-05	0.001242585	0.008693383	*sr
tö	0.001111914	0.001221659	0.910167023	--
Nn	0.003073606	0.001220382	2.518561488	Contig-Nn
nN	4.3209E-06	0.001220382	0.003540621	*nN
du	1.22426E-05	0.001220054	0.010034455	*du
s#	0.00033487	0.001214739	0.275672721	*s#
kʃ	6.62539E-05	0.00120064	0.055182194	*kʃ
ʃk	0.000106582	0.00120064	0.088771356	*ʃk
rm	5.0411E-06	0.001158853	0.004350044	*rm
Nr	0.00052427	0.00114571	0.457594295	*Nr
rN	1.4403E-06	0.00114571	0.001257127	*rN
ss	1.72836E-05	0.001140465	0.015154894	*ss
m#	7.202E-07	0.001132883	0.000635681	*m#
N#	0.000750398	0.001120034	0.669977536	*N#
ʤa	0.000484662	0.001112078	0.435816598	*ʤa
dr	7.202E-07	0.001094251	0.000658123	*dr
rd	7.202E-07	0.001094251	0.000658123	*rd
kö	0.003127617	0.00108874	2.872695242	Contig-kö
kʲo	0.000293102	0.001087936	0.269410619	*kʲo
d#	2.1605E-06	0.001069729	0.002019628	*d#
ms	3.96083E-05	0.001063614	0.037239379	*ms
sm	5.7612E-06	0.001063614	0.005416637	*sm
nʲi	0.013950052	0.001053582	13.24059975	Contig-nʲi
Ns	0.002086999	0.001051551	1.98468564	Contig-Ns
sN	3.6008E-06	0.001051551	0.003424233	*sN
ba	0.0023801	0.001049601	2.267623173	Contig-ba
kg	2.1605E-06	0.001021785	0.002114392	*kg
ds	0.000038168	0.001004322	0.038003783	*ds
sd	3.6008E-06	0.001004322	0.003585263	*sd
Nm	0.00071367	0.000980691	0.727721288	*Nm
